algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
177,177,177,177,48,5.1,4.3,7.5
152,152,152,152,9.8,3.3,6.3,6.1
224,224,224,224,17.2,8.7,4.8,3.9
311,311,311,311,18.6,5,78.7,7.9
694,694,694,694,40.2,6.7,8.9,3.3
223,223,223,223,77.3,6.9,9.2,11.2
652,652,652,652,71.8,8.3,9.1,4.1
316,316,316,316,141.7,25.6,19,6.1
318,318,318,318,103.7,9.9,10.4,4.7
170,170,170,170,236.5,12.4,9.7,3.5
183,183,183,183,193.9,13.7,42.8,10
498,498,498,498,224.1,16.2,12.2,17.5
168,168,168,168,285.8,19.2,82.1,6.5
400,400,400,400,446.3,17.7,14.5,8.3
1109,1109,1109,1109,846.8,20.2,32.4,288.9
645,645,645,645,509.2,21.9,15.3,5
603,603,603,603,1315.8,24.6,15.8,4.8
778,778,778,778,644,25.4,14.4,4.8
415,415,415,415,551.7,15.8,20.6,4.1
